cartodb_id,the_geom,zm,canon,uid,region,sector,grid,link,name_web,name_alt,name,point_y,point_x,y,x
8,0101000020E61000005D86E4150DEAFCBFCC1522670E9A3BC0,2,0,7,Deep Core,,K12,http://starwars.wikia.com/wiki/Zamael,Zamael,,Zamael,-3198.85978257,-201.170058833,-3198.86,-201.17
9,0101000020E61000007B44198D68EE01C0AEC8360723363DC0,2,0,8,Deep Core,,K12,http://starwars.wikia.com/wiki/Lialic,Lialic,,Lialic,-3402.58931251,-249.512659158,-3402.59,-249.51
10,0101000020E6100000F786A58F7D4FFEBFBADA8AEEDFFF3EC0,2,0,9,Deep Core,,K12,http://starwars.wikia.com/wiki/Constancia,Constancia,,Constancia,-3632.6855958,-210.884406319,-3632.69,-210.88
11,0101000020E61000007C30DB055FACDDBF9ABE75C7DB8B3FC0,2,0,10,Deep Core,,K12,http://starwars.wikia.com/wiki/Dulvoyinn,Dulvoyinn,,Dulvoyinn,-3703.9046052,-51.6128034656,-3703.9,-51.61
12,0101000020E6100000E1E56A6F1B11C63FBA208A4CDCF824C0,0,1,11,Deep Core,,L10,http://starwars.wikia.com/wiki/Tython,Tython,,Tython,-1173.87394161,19.1911539756,-1173.87,19.19
13,0101000020E610000015ACF119C00A2440605609B0E51F25C0,2,0,12,Deep Core,,L10,http://starwars.wikia.com/wiki/Had_Abbadon,Had_Abbadon,,Had Abbadon,-1182.50654881,1115.53226847,-1182.51,1115.53
14,0101000020E61000005F156838C7172940AE3BE11774671FC0,2,0,13,Deep Core,,L10,http://starwars.wikia.com/wiki/Cambria,Cambria,,Cambria,-876.720418192,1396.66351306,-876.72,1396.66
15,0101000020E610000083D08EB6FF7A1F4011A0053751601AC0,1,0,14,Deep Core,,L10,http://starwars.wikia.com/wiki/Vulpter,Vulpter,,Vulpter,-735.673208318,876.097315971,-735.67,876.1
16,0101000020E61000002C1A9ED309BC1A4023D1E09B618B14C0,2,0,15,Deep Core,,L10,http://starwars.wikia.com/wiki/Besero,Besero,,Besero,-572.516932224,744.0184258,-572.52,744.02
17,0101000020E6100000D5693C4F82A9134052FE3B56986E13C0,2,0,16,Deep Core,,L10,http://starwars.wikia.com/wiki/Primus_Goluud,Primus_Goluud,,Primus Goluud,-541.439546301,547.194981623,-541.44,547.19
18,0101000020E6100000A24B27E6AD21D13F12409918EB071CC0,0,0,17,Deep Core,,L10,http://starwars.wikia.com/wiki/Empress_Teta,Empress_Teta,,Empress Teta,-782.049492557,29.7980704158,-782.05,29.8
19,0101000020E61000000656564612F1F83FA7837B8616D212C0,2,0,18,Deep Core,,L10,http://starwars.wikia.com/wiki/Iore,Iore,,Iore,-524.366167615,173.530980308,-524.37,173.53
20,0101000020E61000009074EA038408F53F95C66B7F458215C0,2,0,19,Deep Core,,L10,http://starwars.wikia.com/wiki/Starswarm_Cluster,Starswarm_Cluster,,Starswarm Cluster,-599.469850262,146.338267626,-599.47,146.34
21,0101000020E61000000B8AEFA5AEC7D03F1C08D2FBA8E909C0,2,0,20,Deep Core,,L10,http://starwars.wikia.com/wiki/Jerrilek,Jerrilek,,Jerrilek,-360.766271429,29.1865940724,-360.77,29.19
22,0101000020E610000099D2747B8B98F83F7A8E6C2D0D182CC0,2,0,21,Deep Core,,L11,http://starwars.wikia.com/wiki/Tsoss_Beacon,Tsoss_Beacon,,Tsoss Beacon,-1579.60648005,171.125040709,-1579.61,171.13
23,0101000020E6100000DF8AE968FFBE2A40E2DCBE9CB32E37C0,2,0,22,Deep Core,,L11,http://starwars.wikia.com/wiki/Eclipse,Eclipse,,Eclipse,-2654.0951974,1488.68026723,-2654.1,1488.68
24,0101000020E61000006C9C0915D7E6FC3F13EFA5F7A28A3FC0,2,0,23,Deep Core,,L12,http://starwars.wikia.com/wiki/Crystan,Crystan,,Crystan,-3703.28113913,201.082792871,-3703.28,201.08
25,0101000020E61000005E67D653F9F6FA3F63F63E5D003E40C0,1,0,24,Deep Core,,L12,http://starwars.wikia.com/wiki/Khomm,Khomm,,Khomm,-3827.0631346,187.606333853,-3827.06,187.61
26,0101000020E610000087FBD903D66C2B401C770BA988B723C0,2,0,25,Deep Core,,M10,http://starwars.wikia.com/wiki/Dremulae,Dremulae,,Dremulae,-1102.89472685,1526.47634384,-1102.89,1526.48
27,0101000020E6100000BB9859E013112D40CC77721ED27A35C0,1,1,26,Deep Core,,M11,http://starwars.wikia.com/wiki/Ojom,Ojom,,Ojom,-2449.17868398,1617.84565248,-2449.18,1617.85
28,0101000020E6100000AC7231457C6D2E40733C6432BFF934C0,2,0,27,Deep Core,,M11,http://starwars.wikia.com/wiki/Ottabesk,Ottabesk,,Ottabesk,-2388.96624875,1693.59678066,-2388.97,1693.6
29,0101000020E6100000FF5B4247C8882E4076BCA653582934C0,2,0,28,Deep Core,,M11,http://starwars.wikia.com/wiki/Hakassi,Hakassi,,Hakassi,-2292.17314051,1699.53169811,-2292.17,1699.53
30,0101000020E6100000D81B10CE759A2C4081BF599BDFF132C0,2,0,29,Deep Core,,M11,http://starwars.wikia.com/wiki/Ebaq,Ebaq,,Ebaq,-2148.44023062,1592.05573846,-2148.44,1592.06
31,0101000020E6100000CCA41958D5063040719B997CF8EC2DC0,2,0,30,Deep Core,,M11,http://starwars.wikia.com/wiki/Thoadeye,Thoadeye,,Thoadeye,-1684.91718287,1784.08328975,-1684.92,1784.08
32,0101000020E610000044D1C7F7565C22BD0B279481B9CC32C0,2,0,31,Deep Core,,,http://starwars.wikia.com/wiki/Galactic_Center,Galactic_Center,,Galactic Center,-2131.36862819,-0,-2131.37,-0
33,0101000020E6100000F3AD2F713ABA2DC0748781233E9521C0,2,0,32,Core,,J10,http://starwars.wikia.com/wiki/Kokash,Kokash,,Kokash,-982.527190018,-1654.62253519,-982.53,-1654.62
34,0101000020E6100000A0F1AF2FD64E2BC005C1E62E582721C0,2,0,33,Core,,J10,http://starwars.wikia.com/wiki/Pollillus,Pollillus,,Pollillus,-958.355889856,-1519.95386286,-958.36,-1519.95
35,0101000020E6100000C160CF82BE602BC0BCA5ADAFFFE740C0,2,0,34,Core,,J12,http://starwars.wikia.com/wiki/Osssorck_Nebulae,Osssorck_Nebulae,,Osssorck Nebulae,-4003.65177519,-1523.84733127,-4003.65,-1523.85
36,0101000020E6100000A140D0D60DBB2FC06E9BCBA77E4A41C0,2,1,35,Core,,J12,http://starwars.wikia.com/wiki/Questal,Questal,,Questal,-4107.21938677,-1766.12156551,-4107.22,-1766.12
37,0101000020E6100000DA569BAB26E031C00348B57ABB0042C0,1,0,36,Core,,J12,http://starwars.wikia.com/wiki/Kitel_Phard,Kitel_Phard,,Kitel Phard,-4301.40865849,-1989.90158339,-4301.41,-1989.9
38,0101000020E6100000FD90EFEA98F62FC0A6819674877D42C0,2,0,37,Core,,J12,http://starwars.wikia.com/wiki/Inysh,Inysh,,Inysh,-4436.41643788,-1779.06751695,-4436.42,-1779.07
40,0101000020E6100000B1C63108541FFDBF758B96B72A2FC53F,2,0,39,Core,,K9,http://starwars.wikia.com/wiki/Metellos,Metellos,,Metellos,18.4236149077,-202.618004026,18.42,-202.62
41,0101000020E6100000085E21E050FB28C0A41A40AC24CB1140,2,1,40,Core,,K9,http://starwars.wikia.com/wiki/Xa_Fel,Xa_Fel,,Xa Fel,495.689865465,-1390.47521811,495.69,-1390.48
42,0101000020E61000005FC44C86F10626C08E3FA56020610140,2,0,41,Core,,K9,http://starwars.wikia.com/wiki/Ragoon,Ragoon,,Ragoon,241.891213764,-1226.02405093,241.89,-1226.02
43,0101000020E61000003C5BF55E37A220C0393234E8A6931B40,2,0,42,Core,,K9,http://starwars.wikia.com/wiki/Merakai,Merakai,,Merakai,769.316536831,-925.825135529,769.32,-925.83
44,0101000020E610000047F2896364331AC0D0C9CFAA1B6F1C40,2,0,43,Core,,K9,http://starwars.wikia.com/wiki/Denevar,Denevar,,Denevar,793.352952506,-729.163552738,793.35,-729.16
45,0101000020E610000049C5BC49941014C0DE691C0CE5E81740,1,0,44,Core,,K9,http://starwars.wikia.com/wiki/Pantolomin,Pantolomin,,Pantolomin,666.61548804,-558.399791548,666.62,-558.4
46,0101000020E61000006417149102EA1FC08D451B19DD631440,2,0,45,Core,,K9,http://starwars.wikia.com/wiki/Dachat,Dachat,,Dachat,568.203765951,-888.165386616,568.2,-888.17
47,0101000020E610000068EEB289B20014C0B26448297AD51340,2,0,46,Core,,K9,http://starwars.wikia.com/wiki/Voom,Voom,,Voom,552.66507299,-556.673270108,552.67,-556.67
48,0101000020E61000005570ED8CC53619C06E2976F0C1CD1040,2,0,47,Core,,K9,http://starwars.wikia.com/wiki/Hyabb,Hyabb,,Hyabb,468.065522423,-701.70107108,468.07,-701.7
49,0101000020E610000057196B2B26200BC0A00CE4467FF91B40,2,0,48,Core,,K9,http://starwars.wikia.com/wiki/Farrfin,Farrfin,,Farrfin,780.469985232,-377.450752835,780.47,-377.45
50,0101000020E610000064C8A5AD4BB90EC0AFC956983BEB1640,2,0,49,Core,,K9,http://starwars.wikia.com/wiki/Twith,Twith,,Twith,638.89522714,-427.519874599,638.9,-427.52
51,0101000020E610000050693040246421C02A6856DADC274B40,2,1,50,Outer Rim,,K5,http://starwars.wikia.com/wiki/Scipio,Scipio,,Scipio,7229.35893832,-967.988547552,7229.36,-967.99
52,0101000020E6100000735EA724F23400C04EB98E9532DE0F40,2,0,51,Core,,K9,http://starwars.wikia.com/wiki/Galvoni,Galvoni,,Galvoni,443.798304403,-225.516866102,443.8,-225.52
53,0101000020E61000002DCE9D4717AFFDBFD7A838A7E87A0340,2,0,52,Core,,K9,http://starwars.wikia.com/wiki/Weerden,Weerden,,Weerden,271.146160388,-206.52513026,271.15,-206.53
54,0101000020E6100000F923667D0295EEBF4947AE35FE51F93F,2,0,53,Core,,K9,http://starwars.wikia.com/wiki/Tanjay,Tanjay,,Tanjay,176.18748118,-106.386886732,176.19,-106.39
55,0101000020E6100000E1DC9E418601F4BF99716A39E18A1F40,2,0,54,Core,,K9,http://starwars.wikia.com/wiki/Mamendin,Mamendin,,Mamendin,880.60822876,-139.190794095,880.61,-139.19
56,0101000020E61000004C33ABCEF7A929C0413FC781A77618C0,2,0,55,Core,,K10,http://starwars.wikia.com/wiki/Tamban,Tamban,,Tamban,-682.112459432,-1428.44822653,-682.11,-1428.45
57,0101000020E61000005FA7D72D825428C00B3ECAC2E3D712C0,2,0,56,Core,,K10,http://starwars.wikia.com/wiki/Aradia,Aradia,,Aradia,-524.999008379,-1354.2078046,-525,-1354.21
58,0101000020E6100000E20E1DEBE5EC23C0F3753276156912C0,2,0,57,Core,,K10,http://starwars.wikia.com/wiki/Cal-Seti,Cal-Seti,,Cal-Seti,-512.913358298,-1109.0417601,-512.91,-1109.04
59,0101000020E61000000FE1BE4EBBC929C010AA3A926C0A1FC0,1,0,58,Core,,K10,http://starwars.wikia.com/wiki/N'Zoth,N'Zoth,,N'Zoth,-866.512571723,-1435.35431229,-866.51,-1435.35
60,0101000020E61000002F1FF610FC591FC0D9F2C74A81BF0FC0,2,0,59,Core,,K10,http://starwars.wikia.com/wiki/Fresia,Fresia,,Fresia,-442.125979252,-872.508322803,-442.13,-872.51
61,0101000020E6100000F98B6C0FB6DE1CC0EE56C9756F8E09C0,2,0,60,Core,,K10,http://starwars.wikia.com/wiki/Galand,Galand,,Galand,-355.799907244,-803.447465197,-355.8,-803.45
62,0101000020E6100000E325E38C82C618C0043510366C08FFBF,2,0,61,Core,,K10,http://starwars.wikia.com/wiki/Alland,Alland,,Alland,-215.951670592,-689.497050148,-215.95,-689.5
63,0101000020E61000008D6D6D8A12CE14C0493B8D2D6F3C03C0,2,0,62,Core,,K10,http://starwars.wikia.com/wiki/Worru'du,Worru'du,,Worru'du,-267.747313797,-578.999677978,-267.75,-579
64,0101000020E6100000F5D53E0C9DB60BC04AC5588AD7FA03C0,2,0,63,Core,,K10,http://starwars.wikia.com/wiki/Salliche,Salliche,,Salliche,-278.106442438,-385.629276682,-278.11,-385.63
65,0101000020E6100000F0A7B2C8630312C097A62DF9B571EDBF,2,0,64,Core,,K10,http://starwars.wikia.com/wiki/Norkronia,Norkronia,,Norkronia,-102.432885903,-501.306213172,-102.43,-501.31
66,0101000020E6100000A70FE30746A0FCBF1ADA0EE159A5F8BF,2,0,65,Core,,K10,http://starwars.wikia.com/wiki/Stassia,Stassia,,Stassia,-171.493743508,-199.164961146,-171.49,-199.16
67,0101000020E6100000F3C3F234F6A076BFAB3D1931E5ECEFBF,2,1,66,Core,,L10,http://starwars.wikia.com/wiki/Foerost,Foerost,,Foerost,-111.065493103,-0.61499552887,-111.07,-0.61
68,0101000020E6100000F3C3F234F6A076BFF380838ED5DAFDBF,2,0,67,Core,,K10,http://starwars.wikia.com/wiki/Ruan,Ruan,,Ruan,-207.750693752,-0.61499552887,-207.75,-0.61
69,0101000020E61000000C384FC2E67C29C068930C6AD5041EC0,2,0,68,Core,,K10,http://starwars.wikia.com/wiki/Galantos,Galantos,,Galantos,-837.820737619,-1418.6498078,-837.82,-1418.65
70,0101000020E61000003A65CEE3D8082AC00E6694C457651EC0,2,0,69,Core,,K10,http://starwars.wikia.com/wiki/J't'p'tan,J't'p'tan,,J't'p'tan,-848.404092119,-1449.07695199,-848.4,-1449.08
71,0101000020E610000020A5AB9DE8A6E0BFE171CD31F31941C0,1,0,70,Core,,K12,http://starwars.wikia.com/wiki/Botor,Botor,,Botor,-4056.05687106,-57.9278345787,-4056.06,-57.93
72,0101000020E6100000C3EEBF93F5D1F9BFD643B6AA3B6941C0,2,0,71,Core,,K12,http://starwars.wikia.com/wiki/Thracior,Thracior,,Thracior,-4139.73597576,-179.64289596,-4139.74,-179.64
75,0101000020E61000000F9DFC324FEE03C08BC9D2F7C3E940C0,1,0,74,Core,,K12,http://starwars.wikia.com/wiki/Daupherm,Daupherm,,Daupherm,-4005.50119683,-277.337148991,-4005.5,-277.34
76,0101000020E6100000094488160A9727C0BCE9231A3A143FC0,2,0,75,Core,,K12,http://starwars.wikia.com/wiki/Loedorvia,Loedorvia,,Loedorvia,-3643.01455628,-1313.01326483,-3643.01,-1313.01
77,0101000020E61000007D4FF0BCAA3620C01050451EEB7741C0,2,0,76,Core,,K12,http://starwars.wikia.com/wiki/Cortina,Cortina,,Cortina,-4155.3043493,-902.441661763,-4155.3,-902.44
1437,0101000020E61000007BB2C3F2E10B4740C187C1F77B471D40,4,0,1437,Inner Rim,Hapes Cluster,O9,,,,,817.06301124,5131.03068707,817.06,5131.03
78,0101000020E6100000CBA88007F61DE3BF2B596AFD019A43C0,1,0,77,Core,,K13,http://starwars.wikia.com/wiki/Abregado-rae,Abregado-rae,,Abregado-rae,-4750.8181159,-66.5030825523,-4750.82,-66.5
79,0101000020E61000001EF1EFB4DC95E2BF51DC6E461F1344C0,1,0,78,Core,,K13,http://starwars.wikia.com/wiki/Dentaal,Dentaal,,Dentaal,-4887.67531692,-64.6536609169,-4887.68,-64.65
80,0101000020E61000009E36FE59FFC5F9BF85E463DF8D8244C0,2,0,79,Core,,K13,http://starwars.wikia.com/wiki/Belgaroth,Belgaroth,,Belgaroth,-5015.28540977,-179.317802313,-5015.29,-179.32
81,0101000020E6100000F6CAA087551004C0D7622A2DF7FD43C0,2,0,80,Core,,K13,http://starwars.wikia.com/wiki/Steelious,Steelious,,Steelious,-4863.63283566,-279.186570626,-4863.63,-279.19
82,0101000020E61000001E54E8E3521E29C07525D05809F242C0,2,0,81,Core,,K13,http://starwars.wikia.com/wiki/Cuvacia,Cuvacia,,Cuvacia,-4564.02653072,-1398.08666006,-4564.03,-1398.09
83,0101000020E6100000453CE7BA6FAD23C0CE5FF0044F5544C0,2,0,82,Core,,K13,http://starwars.wikia.com/wiki/Illodia,Illodia,,Illodia,-4963.27042627,-1095.24386726,-4963.27,-1095.24
84,0101000020E6100000B7C5CE956604E73FCC461E1FA57E2040,2,0,83,Core,,L9,http://starwars.wikia.com/wiki/Kidiet_Olgo,Kidiet_Olgo,,Kidiet Olgo,921.27814982,80.0706845797,921.28,80.07
1395,0101000020E61000005E7FD307361248401DBD6BBA3E441A40,4,0,1395,Inner Rim,Hapes Cluster,O9,,,,,732.601227733,5359.17341419,732.6,5359.17
85,0101000020E61000001DBFD953029C0E40180A883349CA1B40,2,0,84,Core,,L9,http://starwars.wikia.com/wiki/Challon,Challon,,Challon,775.29941321,425.927999008,775.3,425.93
86,0101000020E6100000140606347AE30E404F80A1BA2C2F1840,2,0,85,Core,,L9,http://starwars.wikia.com/wiki/Shawken,Shawken,,Shawken,674.297908962,429.812672248,674.3,429.81
87,0101000020E6100000ECFE3516DD1FEE3F8F51E81422521340,2,1,86,Core,,L9,http://starwars.wikia.com/wiki/Velusia,Velusia,,Velusia,538.33434555,104.795011141,538.33,104.8
88,0101000020E61000002EDD1D220B61FA3FAB26E7D549A20F40,2,0,87,Core,,L9,http://starwars.wikia.com/wiki/Thorgeld,Thorgeld,,Thorgeld,440.534099805,183.531582651,440.53,183.53
89,0101000020E61000002F1EA13322F5E93F028FA61492760240,2,0,88,Core,,L9,http://starwars.wikia.com/wiki/Thokos,Thokos,,Thokos,256.9832892,90.2994248827,256.98,90.3
90,0101000020E6100000D7E6A534B50E2440E0D3373ED3951740,2,1,89,Core,,L9,http://starwars.wikia.com/wiki/Ralltiir,Ralltiir,,Ralltiir,657.536263314,1116.39269828,657.54,1116.39
91,0101000020E61000007A6FCDB34EB12240B1C63DC38D1A1640,2,0,90,Core,,L9,http://starwars.wikia.com/wiki/Rhinnal,Rhinnal,,Rhinnal,616.09974875,1040.42575491,616.1,1040.43
92,0101000020E6100000C27C12738D8321406CC59E850B9F1440,2,0,91,Core,,L9,http://starwars.wikia.com/wiki/Esseles,Esseles,,Esseles,574.663234187,974.817940188,574.66,974.82
93,0101000020E6100000989E5252DB4D20409520DFE2CA521340,1,1,92,Core,,L9,http://starwars.wikia.com/wiki/Brentaal,Brentaal,,Brentaal,538.406283944,907.483604022,538.41,907.48
94,0101000020E61000009777EAE207D11D401F6B1B55B5871140,2,1,93,Core,,L9,http://starwars.wikia.com/wiki/Chandrila,Chandrila,,Chandrila,488.337162179,829.790139216,488.34,829.79
95,0101000020E610000077560821D2C61A40D0F644DCC2D70F40,2,1,94,Core,,L9,http://starwars.wikia.com/wiki/Corulag,Corulag,,Corulag,443.447604735,745.190588648,443.45,745.19
96,0101000020E6100000766226DEAE1F1640BA8B35C0D3E30A40,1,1,95,Core,,L9,http://starwars.wikia.com/wiki/Anaxes,Anaxes,,Anaxes,374.38674713,615.701480637,374.39,615.7
97,0101000020E61000004F1BD8B35C990E4024CBCC7B41150340,2,1,96,Core,,L9,http://starwars.wikia.com/wiki/Grizmallt,Grizmallt,,Grizmallt,265.6158964,425.784122221,265.62,425.78
98,0101000020E61000009344632C49900240F34D94628F88F73F,1,1,97,Core,,L9,http://starwars.wikia.com/wiki/Alsakan,Alsakan,,Alsakan,163.751131432,258.311542527,163.75,258.31
99,0101000020E610000090B9BE075F1D2840CB6D742EDA7A0340,1,0,98,Core,,L9,http://starwars.wikia.com/wiki/Tepasi,Tepasi,,Tepasi,271.143084897,1342.21980428,271.14,1342.22
100,0101000020E61000003D8086F531882440F467862B0E38F63F,1,1,99,Core,,L9,http://starwars.wikia.com/wiki/Skako,Skako,,Skako,154.602887687,1142.80657794,154.6,1142.81
101,0101000020E61000004021FA40326B204045CACC4C7D9AED3F,2,0,100,Core,,L9,http://starwars.wikia.com/wiki/Basilisk,Basilisk,,Basilisk,102.987090466,913.862641137,102.99,913.86
102,0101000020E6100000D8C46D5E59B1F23F471B0CDBA11402C0,2,0,101,Core,,L10,http://starwars.wikia.com/wiki/Spira,Spira,,Spira,-251.655594437,130.054351748,-251.66,130.05
103,0101000020E610000042A69AB6728D124088B89FF11C8301C0,2,0,102,Core,,L10,http://starwars.wikia.com/wiki/Yulant,Yulant,,Yulant,-243.739901062,516.314593662,-243.74,516.31
104,0101000020E6100000FA1389A882AB154059FC0483C36A05C0,1,0,103,Core,,L10,http://starwars.wikia.com/wiki/Aargau,Aargau,,Aargau,-298.125326427,603.072296029,-298.13,603.07
105,0101000020E6100000C7427650DC9A21400AB43B8BA6570AC0,2,1,104,Core,,L10,http://starwars.wikia.com/wiki/Broest,Broest,,Broest,-366.754553673,979.885600341,-366.75,979.89
106,0101000020E61000005882FF39DAFE134059672E1712ABE1BF,1,0,105,Core,,L10,http://starwars.wikia.com/wiki/Ixtlar,Ixtlar,,Ixtlar,-61.4640767079,556.472703027,-61.46,556.47
107,0101000020E6100000592BA0C933772140D60EFF1B10E1E6BF,2,0,106,Core,,L10,http://starwars.wikia.com/wiki/Vultar,Vultar,,Vultar,-79.5925518295,972.132739742,-79.59,972.13
108,0101000020E6100000A9A98A30BC8E1E4074D351B832E2FABF,2,0,107,Core,,L10,http://starwars.wikia.com/wiki/Wukkar,Wukkar,,Wukkar,-187.068511479,850.412978212,-187.07,850.41
109,0101000020E610000059A8589AFCA02240714831A7F09F05C0,2,0,108,Core,,L10,http://starwars.wikia.com/wiki/Kailor,Kailor,,Kailor,-301.018926528,1036.87729375,-301.02,1036.88
110,0101000020E610000061D041AEF6F0284013D767EF156300C0,2,0,109,Core,,L10,http://starwars.wikia.com/wiki/Palawa,Palawa,,Palawa,-228.073395682,1388.22440682,-228.07,1388.22
111,0101000020E6100000854B2DBA223C26402F8C54DF5F8D0EC0,2,0,110,Core,,L10,http://starwars.wikia.com/wiki/Xorth,Xorth,,Xorth,-425.447682261,1237.58914542,-425.45,1237.59
112,0101000020E6100000FA54D970FE8E264008B9656F1A7A3FC0,2,0,111,Core,,L12,http://starwars.wikia.com/wiki/Gama,Gama,,Gama,-3694.84839706,1255.60426042,-3694.85,1255.6
113,0101000020E6100000EE783BF98437224099464B97950C40C0,1,1,112,Core,,L12,http://starwars.wikia.com/wiki/Balosar,Balosar,,Balosar,-3776.22294902,1013.94650005,-3776.22,1013.95
114,0101000020E61000000E63BAA934302A40DE06E63D088541C0,2,0,113,Core,,L12,http://starwars.wikia.com/wiki/Lansono,Lansono,,Lansono,-4169.22504655,1457.63430928,-4169.23,1457.63
115,0101000020E6100000A8F9092F9D971A406885EE5B38C040C0,2,0,114,Core,,L12,http://starwars.wikia.com/wiki/Lujo,Lujo,,Lujo,-3962.08982338,740.058714733,-3962.09,740.06
116,0101000020E61000004E84B670EEA62040F957163E491A41C0,2,0,115,Core,,L12,http://starwars.wikia.com/wiki/Shulxi,Shulxi,,Shulxi,-4056.41032679,926.850299911,-4056.41,926.85
117,0101000020E6100000D3788DDB6C9E2040804F760FA1E241C0,2,0,116,Core,,L12,http://starwars.wikia.com/wiki/Axbrian,Axbrian,,Axbrian,-4269.09381486,925.000878275,-4269.09,925
118,0101000020E61000008CFD2DA6C3B004408A99E90FD6E340C0,2,0,117,Core,,L12,http://starwars.wikia.com/wiki/Thomork,Thomork,,Thomork,-3999.29552032,287.906786942,-3999.3,287.91
